Geography,Year,Income Before Tax
Vancouver,2006,127200
Vancouver,2007,131500
Vancouver,2008,137900
Vancouver,2009,131600
Vancouver,2010,129800
Vancouver,2011,130000
Vancouver,2012,128100
Vancouver,2013,141100
Vancouver,2014,135600
Vancouver,2015,133100
Vancouver,2016,134200
Vancouver,2017,140000
Vancouver,2018,138000
Vancouver,2019,144700
Vancouver,2020,149500
Vancouver,2021,149500
Vancouver,2022,156100
Vancouver,2023,159700
