Property_Type,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Condo,695538.31,728079.67,837438.27,879788.41,872879.86,979565.29,917594.74,1060991.29,1050873.67,1019104.48,1191466.17,1055195.32,1186226.8,1293982.48,1248231.84,1388091.39,1534123.85,1844201.79,1520226.56,1646318.44
Duplex,1496993.35,1633238.6,1598082.7,1840257.13,1818096.34,1965211.25,2139358.54,2274877.95,2087129.77,2313045.37,2529762.47,2500389.06,2564204.32,2752590.44,2857759.23,2933761.67,3451681.85,3526318.65,3410345.32,3526693.98
House,2009027.34,2042947.13,2095363.77,2133283.62,2208696.68,2309628.47,2444590.59,2760561.51,3167167.65,3366607.9,2746579.43,2870337.42,3156359.39,3805820.92,3334384.69,3680315.38,4150145.05,4976309.36,4558075.42,4373477.14
Townhouse,1289191.08,1423586.21,1260962.68,1476986.38,1352655.46,1558561.65,1651544.91,1559403.27,1704596.18,1811822.35,1864922.48,1822492.52,1839551.02,1858772.7,2086316.18,2329047.49,2279903.46,3141418.8,2931826.11,2283075.04
Triplex,1671017.18,1774013.15,1750914.9,1661446.13,1926158.75,2321121.19,2005507.18,2177049.81,2251775.99,2402091.44,2437061.99,2497843.36,2581519.82,3011677.15,2841824.93,3065258.75,3410930.22,3671186.16,3880376.67,3597435.22
